,Unnamed: 0,sub,trial_num,trial_num_within_goal,current_state,decision,got_to_goal,got_to_goal_last,goal_switch,control_regressor,RT,eligible_decisions_accuracy,retrieved_cached,planning_depth,delayed_planning,choices,worry,optimally_delayed,optimally_control_choice,optimally_delayed_last,choice_numeric,choices_numeric,choice_numeric_last,interaction_won_and_metachoice,got_to_goal_retrieved_cached,MB_decision,optimal_metacontrol_choice,over_planning,over_control,optimal_metacontrol_choice_last,points_from_choice,points_from_goal,trial_points,total_points,correct_control_action,space_hit_points,goal_points,space_hit_points_total,total_score,metacontrol_accuracy
15587,15587,sub-043.csv,-0.7627118644067796,8,images/backpack.png,3,1,1,0,1,0.3789157728746279,1,1,1,1,left,48,1,1,1,0,0,0.0,0,Won_Cached,0,1,0,0,1.0,0,400,600,85800,1.0,0,4,2,6,1
15588,15588,sub-043.csv,-0.6779661016949152,9,images/backpack.png,3,1,1,1,1,1.5125965609845449,1,1,1,1,left,48,1,1,1,0,0,0.0,0,Won_Cached,0,1,0,0,1.0,0,400,600,85800,1.0,0,4,2,6,1
15589,15589,sub-043.csv,-0.6440677966101694,10,images/bowtie.png,3,1,1,1,1,1.0627432855871988,1,1,1,1,right,48,1,1,1,0,1,0.0,0,Won_Cached,1,1,0,0,1.0,0,400,600,85800,1.0,0,4,2,6,1
15590,15590,sub-043.csv,-0.5932203389830508,11,images/backpack.png,3,1,1,1,1,1.4476011031805822,1,1,1,1,left,48,1,1,1,0,0,0.0,0,Won_Cached,0,1,0,0,1.0,0,400,600,85800,1.0,0,4,2,6,1
15591,15591,sub-043.csv,-0.4576271186440678,12,images/bowtie.png,3,1,1,1,1,0.2728475834933254,1,1,1,1,right,48,1,1,1,0,1,0.0,0,Won_Cached,1,1,0,0,1.0,0,400,600,85800,1.0,0,4,2,6,1
15592,15592,sub-043.csv,-0.3389830508474576,13,images/backpack.png,3,1,1,1,1,-1.0174932373833177,1,1,1,1,left,48,0,1,1,0,0,0.0,0,Won_Cached,0,1,0,0,1.0,0,400,500,85800,1.0,0,4,1,5,1
15593,15593,sub-043.csv,-0.2372881355932203,14,images/backpack.png,3,1,1,1,1,-0.0064205678029226,1,1,1,1,left,48,1,1,0,0,0,0.0,0,Won_Cached,0,1,0,0,1.0,0,400,600,85800,1.0,0,4,2,6,1
15594,15594,sub-043.csv,-0.2203389830508474,15,images/backpack.png,3,1,1,0,1,0.9686554520800176,1,1,1,1,left,48,1,1,1,0,0,0.0,0,Won_Cached,0,1,0,0,1.0,0,400,600,85800,1.0,0,4,2,6,1
15595,15595,sub-043.csv,-0.2033898305084746,16,images/backpack.png,3,1,1,0,1,0.648097512006221,1,1,1,1,left,48,1,1,1,0,0,0.0,0,Won_Cached,0,1,0,0,1.0,0,400,600,85800,1.0,0,4,2,6,1
15596,15596,sub-043.csv,-0.1525423728813559,17,images/backpack.png,3,1,1,1,1,0.6286086594223741,1,1,1,1,left,48,1,1,1,0,0,0.0,0,Won_Cached,0,1,0,0,1.0,0,400,600,85800,1.0,0,4,2,6,1
