study,model,sub,npar,loglik,lme,bic,n_obs
study1,PR,sub-019.csv,2,-58.657413056430656,-58.657413056430656,127.70073981464174,180
study1,PR,sub-050.csv,2,-47.8899157500582,-47.8899157500582,106.16574520189683,180
study1,PR,sub-067.csv,2,-5.242592445520508,-5.242592445520508,20.871098592821436,180
study1,PR,sub-017.csv,2,-12.658079787841398,-12.658079787841398,35.702073277463214,180
study1,PR,sub-047.csv,2,-71.70917940206141,-71.70917940206141,153.80427250590324,180
study1,PR,sub-031.csv,2,-51.52798188160479,-51.52798188160479,113.44187746499,180
study1,PR,sub-021.csv,2,-11.036708413527391,-11.036708413527391,32.4593305288352,180
study1,PR,sub-070.csv,2,-39.013961172294714,-39.013961172294714,88.41383604636985,180
study1,PR,sub-046.csv,2,-61.028590461347704,-61.028590461347704,132.44309462447583,180
study1,PR,sub-056.csv,2,-89.9908571272997,-89.9908571272997,190.36762795637983,180
study1,PR,sub-083.csv,2,-0.7547029601774518,-0.7547029601774518,11.895319622135325,180
study1,PR,sub-027.csv,2,-19.057931053253455,-19.057931053253455,48.501775808287334,180
study1,PR,sub-051.csv,2,-95.1689257228001,-95.1689257228001,200.72376514738062,180
study1,PR,sub-060.csv,2,-48.59700107248482,-48.59700107248482,107.57991584675007,180
study1,PR,sub-043.csv,2,-14.689493624297697,-14.689493624297697,39.76490095037582,180
study1,PR,sub-032.csv,2,-77.26980340998317,-77.26980340998317,164.92552052174676,180
study1,PR,sub-053.csv,2,-38.144089459760906,-38.144089459760906,86.67409262130224,180
study1,PR,sub-087.csv,2,-122.72308544111915,-122.72308544111915,255.83208458401873,180
study1,PR,sub-033.csv,2,-14.81242471963256,-14.81242471963256,40.010763141045544,180
study1,PR,sub-041.csv,2,-45.012807980035056,-45.012807980035056,100.41152966185054,180
study1,PR,sub-001.csv,2,-17.904909196489605,-17.904909196489605,46.195732094759634,180
study1,PR,sub-061.csv,2,-91.67206035885258,-91.67206035885258,193.73003441948558,180
study1,PR,sub-071.csv,2,-88.78144842866784,-88.78144842866784,187.9488105591161,180
study1,PR,sub-006.csv,2,-27.53514438056672,-27.53514438056672,65.45620246291386,180
study1,PR,sub-049.csv,2,-25.86886348239907,-25.86886348239907,62.12364066657857,180
study1,PR,sub-024.csv,2,-69.9698884732026,-69.9698884732026,150.32569064818563,180
study1,PR,sub-072.csv,2,-38.84412654980652,-38.84412654980652,88.07416680139346,180
study1,PR,sub-063.csv,2,-120.92712537798377,-120.92712537798377,252.24016445774797,180
study1,PR,sub-081.csv,2,-119.89512529339503,-119.89512529339503,250.17616428857048,180
study1,PR,sub-080.csv,2,-0.7174922992981614,-0.7174922992981614,11.820898300376744,180
study1,PR,sub-013.csv,2,-5.264659994738057,-5.264659994738057,20.915233691256535,180
study1,PR,sub-065.csv,2,-11.046514518486834,-11.046514518486834,32.478942738754085,180
study1,PR,sub-093.csv,2,-107.61172759461964,-107.61172759461964,225.6093688910197,180
study1,PR,sub-002.csv,2,-0.7174942801039741,-0.7174942801039741,11.820902261988369,180
study1,CB,sub-005.csv,1,-29.609304796531767,-29.609304796531767,64.41156644395375,180
study1,CB,sub-009.csv,1,-124.05445101682379,-124.05445101682379,253.30185888453778,180
study1,CB,sub-038.csv,1,-15.315695947520034,-15.315695947520034,35.82434874593028,180
study1,CB,sub-018.csv,1,-29.609304357380598,-29.609304357380598,64.4115655656514,180
study1,CB,sub-044.csv,1,-77.80218876161881,-77.80218876161881,160.79733437412781,180
study1,CB,sub-003.csv,1,-98.9637603850278,-98.9637603850278,203.1204776209458,180
study1,CB,sub-059.csv,1,-103.35925637611726,-103.35925637611726,211.91146960312471,180
study1,CB,sub-088.csv,1,-64.84424949273594,-64.84424949273594,134.88145583636208,180
study1,CB,sub-016.csv,1,-82.69183952093155,-82.69183952093155,170.5766358927533,180
study1,CB,sub-004.csv,1,-38.63088985059883,-38.63088985059883,82.45473655208787,180
study1,CB,sub-028.csv,1,-97.7896565131095,-97.7896565131095,200.7722698771092,180
study1,CB,sub-092.csv,1,-44.09498328174076,-44.09498328174076,93.38292341437173,180
study1,CB,sub-007.csv,1,-113.8670329829843,-113.8670329829843,232.9270228168588,180
study1,CB,sub-052.csv,1,-77.80218822967855,-77.80218822967855,160.7973333102473,180
study1,CB,sub-036.csv,1,-15.315696890035422,-15.315696890035422,35.82435063096106,180
study1,CB,sub-075.csv,1,-118.82308658867807,-118.82308658867807,242.83913002824633,180
study1,CB,sub-020.csv,1,-62.79280657128808,-62.79280657128808,130.77856999346636,180
